feature,mean_abs_shap
txn_count,2.893234
Renewal_Risk_Flag_Low,1.2251852
txn_mean_payment_delay_days,0.43217155
Relative_Churn_Risk_Medium,0.23983039
txn_renewal_count,0.22259772
usage_mean_license_utilization_pct,0.21869074
active_quarters,0.2054282
Relative_Churn_Risk_Low,0.2035339
escalated_ticket_ratio,0.20347214
Sessions_Per_User_Day,0.18360205
tickets_per_tenure_month,0.17309245
Renewal_Risk_Flag_Medium,0.17187932
Business_Model_B2C,0.15964885
quarterly_revenue_last,0.1428058
NPS_Score,0.13286205
Sector_Healthcare,0.12072108
Last_Training_Days_Ago,0.109789275
Lifetime_Revenue_USD,0.108240224
Subregion,0.10813369
Industry_ID,0.107917175
Legal_Entity_Type,0.10613378
eng_sla_breach_rate,0.105373256
eng_mean_score,0.099028885
support_dependency_score,0.09760053
Feature_Adoption_Pct,0.095392145
Mobile_Users_Pct,0.09483642
tenure_days,0.09320276
SKU_CRM_Analytics,0.09199013
Sector_Finance,0.09057243
Company_Size_Startup_50,0.09020475
automation_density,0.086961776
Continent_Europe,0.08492408
Account_Tier_Gold,0.08430475
active_user_per_license,0.082182966
usage_mean_feature_adoption_pct,0.08182129
Regulatory_Complexity_Low,0.081243195
Subscription_Value_Local,0.0777126
quarterly_revenue_growth_ratio,0.075357005
days_to_contract_end,0.07483553
Renewal_Probability,0.07475947
CSAT_Score,0.072770886
Executive_Sponsor,0.070809506
payment_reliability_score,0.07076889
Avg_Session_Minutes,0.070510976
contract_duration_days,0.06464647
Employees,0.064229324
txn_failed_payment_rate,0.06130621
eng_mean_resolution_days,0.060828123
usage_mean_errors,0.06057149
usage_mean_session_minutes,0.060019143
Regulatory_Complexity_Medium,0.05863482
usage_mean_uptime_pct,0.05846825
Escalated_Tickets,0.057371423
Discount_Pct,0.055407386
usage_trend_ratio,0.054938
tenure_years,0.054477174
quarterly_revenue_std,0.053677827
usage_mean_integrations_active,0.050740186
Currency,0.05052112
usage_mean_mobile_sessions_pct,0.049722157
Company_Size_Mid_Market_251_1000,0.049628902
Payment_Delay_Days,0.047936384
error_rate_per_session,0.04709806
Price_Sensitivity_Medium,0.04522697
usage_mean_storage_gb,0.044738505
txn_mean_discount_pct,0.044559833
txn_auto_renewal_rate,0.044368185
Company_Age_Years,0.042689033
ACV_Local,0.042676114
Company_Size_SMB_50_250,0.042102687
usage_mean_automations,0.041556243
quarterly_revenue_mean,0.04125562
API_Calls_Monthly,0.040994447
eng_escalation_rate,0.040772658
addon_revenue_share,0.040112298
usage_mean_reports,0.039802756
engagement_quality_score,0.03915482
GDP_Per_Capita_USD,0.038646437
api_calls_per_license,0.03752612
eng_follow_up_rate,0.03653063
eng_positive_sentiment_rate,0.035310023
Market_Tier_Tier2,0.03490643
txn_total_revenue_usd,0.03466325
Country,0.034242935
Account_Tier_Silver,0.034014538
txn_mean_revenue_usd,0.033988796
quarterly_revenue_min,0.03366882
usage_intensity_score,0.03336291
txn_max_payment_delay_days,0.031470366
eng_distinct_event_types,0.031421337
